,record,beat,sym,pos,block,k
163,100,163,N,47334,46,35
164,100,164,N,47632,46,35
165,100,165,N,47919,46,35
166,100,166,N,48202,47,36
167,100,167,N,48486,47,36
168,100,168,N,48766,47,36
169,100,169,N,49040,47,36
170,100,170,N,49323,48,25
171,100,171,N,49618,48,25
172,100,172,N,49923,48,25
173,100,173,N,50214,49,41
174,100,174,N,50491,49,41
175,100,175,N,50771,49,41
176,100,176,N,51056,49,41
177,100,177,N,51339,50,41
178,100,178,N,51626,50,41
179,100,179,N,51921,50,41
180,100,180,N,52216,50,41
181,100,181,N,52506,51,37
182,100,182,N,52784,51,37
183,100,183,N,53063,51,37
184,100,184,N,53341,52,39
185,100,185,N,53631,52,39
186,100,186,N,53923,52,39
187,100,187,N,54219,52,39
188,100,188,N,54507,53,37
189,100,189,N,54784,53,37
190,100,190,N,55064,53,37
191,100,191,N,55343,54,38
192,100,192,N,55625,54,38
193,100,193,N,55908,54,38
194,100,194,N,56207,54,38
195,100,195,N,56502,55,45
196,100,196,N,56784,55,45
197,100,197,N,57055,55,45
198,100,198,N,57333,55,45
199,100,199,N,57615,56,35
200,100,200,N,57900,56,35
201,100,201,N,58192,56,35
202,100,202,N,58490,57,39
203,100,203,N,58788,57,39
204,100,204,N,59077,57,39
205,100,205,N,59354,57,39
206,100,206,N,59631,58,41
207,100,207,N,59919,58,41
208,100,208,N,60214,58,41
209,100,209,N,60515,59,38
210,100,210,N,60817,59,38
211,100,211,N,61105,59,38
212,100,212,N,61391,59,38
213,100,213,N,61680,60,36
214,100,214,N,61963,60,36
215,100,215,N,62247,60,36
216,100,216,N,62547,61,36
217,100,217,N,62852,61,36
218,100,218,N,63154,61,36
219,100,219,N,63438,61,36
220,100,220,N,63711,62,28
221,100,221,N,63998,62,28
222,100,222,N,64288,62,28
223,100,223,N,64581,63,41
224,100,224,N,64876,63,41
225,100,225,N,65174,63,41
226,100,226,N,65464,63,41
227,100,227,N,65750,64,25
228,100,228,N,66030,64,25
229,100,229,N,66307,64,25
230,100,230,N,66604,65,41
231,100,231,A,66792,65,41
232,100,232,N,67130,65,41
233,100,233,N,67434,65,41
234,100,234,N,67728,66,42
235,100,235,N,68007,66,42
236,100,236,N,68302,66,42
237,100,237,N,68594,66,42
238,100,238,N,68886,67,41
239,100,239,N,69191,67,41
240,100,240,N,69503,67,41
241,100,241,N,69796,68,43
242,100,242,N,70073,68,43
243,100,243,N,70357,68,43
244,100,244,N,70643,68,43
245,100,245,N,70941,69,36
246,100,246,N,71240,69,36
247,100,247,N,71539,69,36
248,100,248,N,71845,70,30
249,100,249,N,72138,70,30
250,100,250,N,72417,70,30
251,100,251,N,72703,70,30
252,100,252,N,72998,71,28
253,100,253,N,73301,71,28
254,100,254,N,73611,71,28
255,100,255,N,73911,72,35
256,100,256,N,74196,72,35
257,100,257,N,74483,72,35
258,100,258,N,74767,73,37
259,100,259,A,74986,73,37
260,100,260,N,75332,73,37
261,100,261,N,75632,73,37
262,100,262,N,75934,74,37
263,100,263,N,76233,74,37
264,100,264,N,76515,74,37
265,100,265,N,76785,74,37
266,100,266,N,77074,75,38
267,100,267,N,77366,75,38
268,100,268,N,77663,75,38
269,100,269,N,77954,76,38
270,100,270,N,78251,76,38
271,100,271,N,78539,76,38
272,100,272,N,78824,76,38
273,100,273,N,79100,77,26
274,100,274,N,79386,77,26
275,100,275,N,79689,77,26
276,100,276,N,79991,78,40
277,100,277,N,80290,78,40
278,100,278,N,80583,78,40
279,100,279,N,80868,78,40
280,100,280,N,81152,79,31
281,100,281,N,81439,79,31
282,100,282,N,81730,79,31
283,100,283,N,82030,80,40
284,100,284,N,82335,80,40
285,100,285,N,82636,80,40
286,100,286,N,82927,80,40
287,100,287,N,83209,81,36
288,100,288,N,83492,81,36
289,100,289,N,83794,81,36
290,100,290,N,84103,82,34
291,100,291,N,84407,82,34
292,100,292,N,84709,82,34
293,100,293,N,85010,83,43
294,100,294,N,85303,83,43
295,100,295,N,85580,83,43
296,100,296,N,85870,83,43
297,100,297,N,86171,84,24
298,100,298,N,86478,84,24
299,100,299,N,86780,84,24
300,100,300,N,87079,85,40
301,100,301,N,87364,85,40
302,100,302,N,87652,85,40
303,100,303,N,87941,85,40
304,100,304,N,88232,86,27
305,100,305,N,88530,86,27
306,100,306,N,88834,86,27
307,100,307,N,89135,87,37
308,100,308,N,89421,87,37
309,100,309,N,89703,87,37
310,100,310,N,89988,87,37
311,100,311,N,90286,88,28
312,100,312,N,90590,88,28
313,100,313,N,90885,88,28
314,100,314,N,91190,89,41
315,100,315,N,91481,89,41
316,100,316,N,91761,89,41
317,100,317,N,92046,89,41
318,100,318,N,92338,90,38
319,100,319,N,92633,90,38
320,100,320,N,92944,90,38
321,100,321,N,93246,91,39
322,100,322,N,93534,91,39
323,100,323,N,93824,91,39
324,100,324,N,94102,91,39
325,100,325,N,94395,92,31
326,100,326,N,94693,92,31
327,100,327,N,94996,92,31
328,100,328,N,95298,93,43
329,100,329,N,95606,93,43
330,100,330,N,95893,93,43
331,100,331,N,96171,93,43
332,100,332,N,96450,94,37
333,100,333,N,96746,94,37
334,100,334,N,97050,94,37
335,100,335,N,97348,95,43
336,100,336,N,97644,95,43
337,100,337,N,97936,95,43
338,100,338,N,98228,95,43
339,100,339,N,98508,96,33
340,100,340,N,98789,96,33
341,100,341,N,99084,96,33
342,100,342,N,99382,97,30
343,100,343,A,99579,97,30
344,100,344,N,99930,97,30
345,100,345,N,100218,97,30
346,100,346,N,100496,98,49
347,100,347,N,100781,98,49
348,100,348,N,101071,98,49
349,100,349,N,101361,98,49
350,100,350,N,101653,99,35
351,100,351,N,101941,99,35
352,100,352,N,102234,99,35
353,100,353,N,102516,100,45
354,100,354,N,102793,100,45
355,100,355,N,103074,100,45
356,100,356,N,103371,100,45
357,100,357,N,103669,101,33
358,100,358,N,103964,101,33
359,100,359,N,104261,101,33
360,100,360,N,104545,102,39
361,100,361,N,104830,102,39
362,100,362,N,105118,102,39
363,100,363,N,105407,102,39
364,100,364,N,105707,103,36
365,100,365,N,106015,103,36
366,100,366,N,106314,103,36
367,100,367,N,106600,104,36
368,100,368,N,106882,104,36
369,100,369,N,107159,104,36
370,100,370,N,107453,104,36
371,100,371,N,107750,105,34
372,100,372,N,108045,105,34
373,100,373,N,108342,105,34
374,100,374,N,108643,106,37
375,100,375,N,108926,106,37
376,100,376,N,109199,106,37
377,100,377,N,109486,106,37
378,100,378,N,109772,107,29
379,100,379,N,110076,107,29
380,100,380,N,110374,107,29
381,100,381,N,110673,108,40
382,100,382,N,110963,108,40
383,100,383,N,111244,108,40
384,100,384,N,111524,108,40
385,100,385,N,111810,109,41
386,100,386,N,112108,109,41
387,100,387,N,112405,109,41
388,100,388,N,112710,110,44
389,100,389,N,113000,110,44
390,100,390,N,113281,110,44
391,100,391,N,113562,110,44
392,100,392,N,113850,111,27
393,100,393,N,114142,111,27
394,100,394,N,114428,111,27
395,100,395,N,114716,112,43
396,100,396,N,115000,112,43
397,100,397,N,115280,112,43
398,100,398,N,115547,112,43
399,100,399,N,115815,113,45
400,100,400,N,116084,113,45
401,100,401,N,116369,113,45
402,100,402,N,116654,113,45
403,100,403,N,116939,114,32
404,100,404,N,117213,114,32
405,100,405,N,117494,114,32
406,100,406,N,117766,115,37
407,100,407,N,118044,115,37
408,100,408,N,118323,115,37
409,100,409,N,118607,115,37
410,100,410,N,118911,116,39
411,100,411,N,119215,116,39
412,100,412,N,119509,116,39
413,100,413,N,119791,116,39
414,100,414,N,120077,117,37
415,100,415,N,120376,117,37
416,100,416,N,120676,117,37
417,100,417,N,120990,118,23
418,100,418,N,121300,118,23
419,100,419,N,121604,118,23
420,100,420,N,121889,119,42
421,100,421,N,122170,119,42
422,100,422,N,122460,119,42
423,100,423,N,122750,119,42
424,100,424,N,123050,120,43
425,100,425,N,123360,120,43
426,100,426,N,123664,120,43
427,100,427,N,123936,121,39
428,100,428,N,124221,121,39
429,100,429,N,124507,121,39
430,100,430,N,124775,121,39
431,100,431,N,125060,122,38
432,100,432,N,125355,122,38
433,100,433,N,125648,122,38
434,100,434,N,125926,122,38
435,100,435,N,126203,123,27
436,100,436,N,126476,123,27
437,100,437,N,126746,123,27
438,100,438,N,127025,124,42
439,100,439,N,127313,124,42
440,100,440,N,127603,124,42
441,100,441,N,127892,124,42
442,100,442,A,128085,125,45
443,100,443,N,128423,125,45
444,100,444,N,128698,125,45
445,100,445,N,128958,125,45
446,100,446,N,129230,126,30
447,100,447,N,129519,126,30
448,100,448,N,129798,126,30
449,100,449,N,130057,127,40
450,100,450,N,130318,127,40
451,100,451,N,130568,127,40
452,100,452,N,130818,127,40
453,100,453,N,131073,128,34
454,100,454,N,131326,128,34
455,100,455,N,131584,128,34
456,100,456,N,131851,128,34
457,100,457,N,132122,129,38
458,100,458,N,132381,129,38
459,100,459,N,132629,129,38
460,100,460,N,132883,129,38
461,100,461,N,133132,130,45
462,100,462,N,133390,130,45
463,100,463,N,133662,130,45
464,100,464,N,133933,130,45
465,100,465,N,134197,131,43
466,100,466,N,134463,131,43
467,100,467,N,134737,131,43
468,100,468,N,134990,131,43
469,100,469,N,135243,132,37
470,100,470,N,135504,132,37
471,100,471,N,135780,132,37
472,100,472,N,136061,132,37
473,100,473,N,136350,133,42
474,100,474,N,136630,133,42
475,100,475,N,136899,133,42
476,100,476,N,137170,133,42
477,100,477,N,137449,134,30
478,100,478,N,137729,134,30
479,100,479,N,138008,134,30
480,100,480,N,138304,135,44
481,100,481,N,138598,135,44
482,100,482,N,138888,135,44
483,100,483,N,139164,135,44
484,100,484,N,139440,136,39
485,100,485,N,139719,136,39
486,100,486,N,140009,136,39
487,100,487,N,140302,137,46
488,100,488,N,140599,137,46
489,100,489,N,140881,137,46
490,100,490,N,141152,137,46
491,100,491,N,141423,138,39
492,100,492,N,141684,138,39
493,100,493,N,141943,138,39
494,100,494,N,142207,138,39
495,100,495,N,142479,139,36
496,100,496,N,142747,139,36
497,100,497,N,143010,139,36
498,100,498,N,143265,139,36
499,100,499,N,143515,140,44
500,100,500,N,143766,140,44
501,100,501,N,144025,140,44
502,100,502,N,144286,140,44
503,100,503,N,144557,141,42
504,100,504,N,144832,141,42
505,100,505,N,145111,141,42
506,100,506,N,145381,141,42
507,100,507,N,145647,142,36
508,100,508,N,145902,142,36
509,100,509,N,146170,142,36
510,100,510,N,146445,143,45
511,100,511,N,146737,143,45
512,100,512,N,147013,143,45
513,100,513,N,147290,143,45
514,100,514,N,147565,144,38
515,100,515,N,147832,144,38
516,100,516,N,148099,144,38
517,100,517,N,148363,144,38
518,100,518,N,148637,145,44
519,100,519,N,148916,145,44
520,100,520,N,149204,145,44
521,100,521,N,149488,145,44
522,100,522,N,149768,146,31
523,100,523,N,150030,146,31
524,100,524,N,150303,146,31
525,100,525,N,150575,147,38
526,100,526,N,150849,147,38
527,100,527,N,151122,147,38
528,100,528,N,151407,147,38
529,100,529,N,151700,148,43
530,100,530,N,151974,148,43
531,100,531,N,152237,148,43
532,100,532,N,152510,148,43
533,100,533,N,152781,149,40
534,100,534,N,153067,149,40
535,100,535,N,153362,149,40
536,100,536,N,153644,150,43
537,100,537,N,153922,150,43
538,100,538,N,154193,150,43
539,100,539,N,154470,150,43
540,100,540,N,154741,151,40
541,100,541,N,155009,151,40
542,100,542,N,155291,151,40
543,100,543,N,155588,151,40
544,100,544,N,155865,152,40
545,100,545,N,156132,152,40
546,100,546,N,156395,152,40
547,100,547,N,156648,152,40
548,100,548,N,156906,153,33
549,100,549,N,157168,153,33
550,100,550,N,157430,153,33
551,100,551,N,157695,153,33
552,100,552,N,157960,154,35
553,100,553,N,158233,154,35
554,100,554,N,158489,154,35
555,100,555,N,158730,155,39
556,100,556,N,158974,155,39
557,100,557,N,159225,155,39
558,100,558,N,159479,155,39
559,100,559,N,159738,155,39
560,100,560,N,160001,156,32
561,100,561,N,160260,156,32
562,100,562,N,160507,156,32
563,100,563,N,160755,156,32
564,100,564,N,161005,157,43
565,100,565,N,161254,157,43
566,100,566,N,161499,157,43
567,100,567,N,161764,157,43
568,100,568,N,162035,158,27
569,100,569,N,162308,158,27
570,100,570,N,162573,158,27
571,100,571,N,162835,159,40
572,100,572,N,163093,159,40
573,100,573,N,163362,159,40
574,100,574,N,163629,159,40
575,100,575,N,163899,160,35
576,100,576,N,164182,160,35
577,100,577,N,164461,160,35
578,100,578,N,164731,160,35
579,100,579,N,164991,161,32
580,100,580,N,165246,161,32
581,100,581,N,165499,161,32
582,100,582,N,165756,161,32
583,100,583,N,166032,162,44
584,100,584,N,166301,162,44
585,100,585,N,166570,162,44
586,100,586,N,166841,162,44
587,100,587,N,167111,163,46
588,100,588,N,167371,163,46
589,100,589,N,167641,163,46
590,100,590,N,167912,163,46
591,100,591,N,168191,164,37
592,100,592,N,168484,164,37
593,100,593,N,168784,164,37
594,100,594,N,169074,165,40
595,100,595,N,169349,165,40
596,100,596,N,169629,165,40
597,100,597,N,169907,165,40
598,100,598,N,170201,166,37
599,100,599,N,170495,166,37
600,100,600,A,170719,166,37
601,100,601,N,171074,167,38
602,100,602,N,171371,167,38
603,100,603,N,171652,167,38
604,100,604,N,171921,167,38
605,100,605,N,172199,168,39
606,100,606,N,172481,168,39
607,100,607,N,172776,168,39
608,100,608,N,173067,169,37
609,100,609,N,173351,169,37
610,100,610,N,173629,169,37
611,100,611,N,173907,169,37
612,100,612,N,174176,170,42
613,100,613,N,174451,170,42
614,100,614,N,174737,170,42
615,100,615,N,175023,170,42
616,100,616,N,175323,171,27
617,100,617,N,175608,171,27
618,100,618,N,175877,171,27
619,100,619,N,176145,172,34
620,100,620,N,176427,172,34
621,100,621,N,176698,172,34
622,100,622,N,176975,172,34
623,100,623,N,177248,173,36
624,100,624,N,177523,173,36
625,100,625,N,177797,173,36
626,100,626,N,178059,173,36
627,100,627,N,178316,174,43
628,100,628,N,178578,174,43
629,100,629,N,178841,174,43
630,100,630,N,179117,174,43
631,100,631,N,179388,175,37
632,100,632,N,179662,175,37
633,100,633,N,179927,175,37
634,100,634,N,180182,175,37
635,100,635,N,180443,176,39
636,100,636,N,180705,176,39
637,100,637,N,180964,176,39
638,100,638,N,181236,176,39
639,100,639,N,181523,177,34
640,100,640,N,181811,177,34
641,100,641,N,182084,177,34
642,100,642,N,182353,178,49
643,100,643,N,182624,178,49
644,100,644,N,182896,178,49
645,100,645,N,183181,178,49
646,100,646,N,183475,179,28
647,100,647,N,183778,179,28
648,100,648,N,184071,179,28
649,100,649,N,184361,180,37
650,100,650,N,184649,180,37
651,100,651,N,184933,180,37
652,100,652,N,185213,180,37
653,100,653,N,185510,181,35
654,100,654,N,185828,181,35
655,100,655,N,186137,181,35
656,100,656,N,186428,182,41
657,100,657,N,186717,182,41
658,100,658,N,187005,182,41
659,100,659,N,187291,182,41
660,100,660,N,187577,183,30
661,100,661,N,187872,183,30
662,100,662,N,188179,183,30
663,100,663,N,188481,184,42
664,100,664,N,188763,184,42
665,100,665,N,189043,184,42
666,100,666,N,189330,184,42
667,100,667,N,189624,185,38
668,100,668,N,189929,185,38
669,100,669,N,190228,185,38
670,100,670,N,190529,186,41
671,100,671,N,190820,186,41
672,100,672,N,191112,186,41
673,100,673,N,191395,186,41
674,100,674,N,191674,187,40
675,100,675,N,191977,187,40
676,100,676,N,192281,187,40
677,100,677,N,192575,188,39
678,100,678,N,192862,188,39
679,100,679,N,193146,188,39
680,100,680,N,193423,188,39
681,100,681,N,193703,189,35
682,100,682,N,193994,189,35
683,100,683,N,194281,189,35
684,100,684,N,194574,190,43
685,100,685,N,194868,190,43
686,100,686,N,195156,190,43
687,100,687,N,195426,190,43
688,100,688,N,195701,191,44
689,100,689,N,195978,191,44
690,100,690,N,196268,191,44
691,100,691,N,196560,191,44
692,100,692,N,196847,192,37
693,100,693,N,197132,192,37
694,100,694,N,197414,192,37
695,100,695,N,197685,193,42
696,100,696,N,197950,193,42
697,100,697,N,198224,193,42
698,100,698,N,198504,193,42
699,100,699,N,198791,194,43
700,100,700,N,199075,194,43
701,100,701,N,199353,194,43
702,100,702,N,199619,194,43
703,100,703,N,199894,195,39
704,100,704,N,200161,195,39
705,100,705,N,200434,195,39
706,100,706,N,200714,196,38
707,100,707,N,200993,196,38
708,100,708,N,201271,196,38
709,100,709,N,201545,196,38
710,100,710,N,201806,197,44
711,100,711,N,202067,197,44
712,100,712,N,202339,197,44
713,100,713,N,202614,197,44
714,100,714,N,202896,198,39
715,100,715,N,203182,198,39
716,100,716,N,203468,198,39
717,100,717,N,203741,198,39
718,100,718,N,204021,199,31
719,100,719,N,204299,199,31
720,100,720,N,204574,199,31
721,100,721,N,204854,200,46
722,100,722,N,205158,200,46
723,100,723,N,205459,200,46
724,100,724,N,205737,200,46
725,100,725,N,206016,201,27
726,100,726,N,206288,201,27
727,100,727,N,206567,201,27
728,100,728,N,206844,201,27
729,100,729,N,207130,202,40
730,100,730,N,207421,202,40
731,100,731,N,207724,202,40
732,100,732,N,208004,203,38
733,100,733,N,208277,203,38
734,100,734,N,208548,203,38
735,100,735,N,208822,203,38
736,100,736,N,209100,204,41
737,100,737,N,209392,204,41
738,100,738,N,209683,204,41
739,100,739,N,209973,205,45
740,100,740,N,210256,205,45
741,100,741,N,210534,205,45
742,100,742,N,210809,205,45
743,100,743,N,211085,206,43
744,100,744,N,211364,206,43
745,100,745,N,211654,206,43
746,100,746,N,211951,206,43
747,100,747,N,212228,207,28
748,100,748,N,212502,207,28
749,100,749,N,212777,207,28
750,100,750,N,213058,208,43
751,100,751,N,213326,208,43
752,100,752,N,213606,208,43
753,100,753,N,213894,208,43
754,100,754,N,214181,209,38
755,100,755,N,214465,209,38
756,100,756,N,214738,209,38
757,100,757,N,215005,209,38
758,100,758,N,215280,210,36
759,100,759,N,215563,210,36
760,100,760,N,215850,210,36
761,100,761,N,216141,211,38
762,100,762,N,216431,211,38
763,100,763,N,216710,211,38
764,100,764,N,216990,211,38
765,100,765,N,217268,212,44
766,100,766,N,217547,212,44
767,100,767,N,217824,212,44
768,100,768,N,218122,213,45
769,100,769,N,218416,213,45
770,100,770,N,218703,213,45
771,100,771,N,218972,213,45
772,100,772,N,219246,214,39
773,100,773,N,219529,214,39
774,100,774,N,219813,214,39
775,100,775,N,220098,214,39
776,100,776,N,220391,215,38
777,100,777,N,220691,215,38
778,100,778,N,220977,215,38
779,100,779,N,221252,216,41
780,100,780,N,221527,216,41
781,100,781,N,221804,216,41
782,100,782,N,222081,216,41
783,100,783,N,222375,217,33
784,100,784,N,222666,217,33
785,100,785,N,222951,217,33
786,100,786,N,223227,217,33
787,100,787,N,223507,218,41
788,100,788,N,223783,218,41
789,100,789,N,224047,218,41
790,100,790,N,224328,219,42
791,100,791,N,224621,219,42
792,100,792,N,224915,219,42
793,100,793,N,225195,219,42
794,100,794,N,225472,220,46
795,100,795,N,225743,220,46
796,100,796,N,226024,220,46
797,100,797,N,226296,220,46
798,100,798,N,226573,221,38
799,100,799,N,226863,221,38
800,100,800,N,227144,221,38
801,100,801,N,227427,222,38
802,100,802,N,227702,222,38
803,100,803,N,227975,222,38
804,100,804,N,228238,222,38
805,100,805,N,228516,223,36
806,100,806,N,228808,223,36
807,100,807,N,229094,223,36
808,100,808,N,229376,224,30
809,100,809,N,229660,224,30
810,100,810,N,229936,224,30
811,100,811,N,230214,224,30
812,100,812,N,230485,225,41
813,100,813,N,230761,225,41
814,100,814,N,231058,225,41
815,100,815,N,231357,225,41
816,100,816,N,231638,226,26
817,100,817,N,231913,226,26
818,100,818,N,232190,226,26
819,100,819,N,232459,227,40
820,100,820,N,232732,227,40
821,100,821,N,233016,227,40
822,100,822,N,233301,227,40
823,100,823,N,233588,228,45
824,100,824,N,233875,228,45
825,100,825,N,234151,228,45
826,100,826,N,234415,228,45
827,100,827,N,234684,229,36
828,100,828,N,234959,229,36
829,100,829,N,235249,229,36
830,100,830,N,235547,230,39
831,100,831,N,235828,230,39
832,100,832,N,236108,230,39
833,100,833,N,236390,230,39
834,100,834,N,236664,231,36
835,100,835,N,236927,231,36
836,100,836,N,237205,231,36
837,100,837,N,237495,231,36
838,100,838,N,237783,232,33
839,100,839,N,238070,232,33
840,100,840,N,238343,232,33
841,100,841,N,238610,233,42
842,100,842,N,238884,233,42
843,100,843,N,239157,233,42
844,100,844,N,239433,233,42
845,100,845,N,239717,234,38
846,100,846,N,239996,234,38
847,100,847,N,240266,234,38
848,100,848,N,240541,234,38
849,100,849,N,240809,235,48
850,100,850,N,241065,235,48
851,100,851,N,241318,235,48
852,100,852,N,241588,235,48
853,100,853,N,241855,236,38
854,100,854,N,242114,236,38
855,100,855,N,242373,236,38
856,100,856,N,242632,236,38
857,100,857,N,242879,237,35
858,100,858,N,243132,237,35
859,100,859,N,243388,237,35
860,100,860,N,243643,237,35
861,100,861,N,243908,238,37
862,100,862,N,244191,238,37
863,100,863,N,244461,238,37
864,100,864,N,244729,238,37
865,100,865,N,244984,239,36
866,100,866,N,245246,239,36
867,100,867,N,245515,239,36
868,100,868,N,245791,240,45
869,100,869,N,246065,240,45
870,100,870,N,246352,240,45
871,100,871,N,246647,240,45
872,100,872,N,246935,241,42
873,100,873,N,247201,241,42
874,100,874,N,247469,241,42
875,100,875,N,247742,241,42
876,100,876,N,248017,242,39
877,100,877,N,248300,242,39
878,100,878,N,248586,242,39
879,100,879,N,248878,243,40
880,100,880,N,249158,243,40
881,100,881,N,249433,243,40
882,100,882,N,249706,243,40
883,100,883,N,249988,244,40
884,100,884,N,250273,244,40
885,100,885,N,250558,244,40
886,100,886,N,250858,244,40
887,100,887,N,251160,245,36
888,100,888,N,251441,245,36
889,100,889,N,251710,245,36
890,100,890,N,251994,246,38
891,100,891,N,252285,246,38
892,100,892,N,252584,246,38
893,100,893,N,252868,246,38
894,100,894,N,253159,247,40
895,100,895,N,253456,247,40
896,100,896,N,253741,247,40
897,100,897,N,254010,248,43
898,100,898,N,254282,248,43
899,100,899,N,254585,248,43
900,100,900,N,254891,248,43
901,100,901,N,255170,249,28
902,100,902,N,255453,249,28
903,100,903,N,255738,249,28
904,100,904,N,256027,250,37
905,100,905,N,256295,250,37
906,100,906,N,256572,250,37
907,100,907,N,256860,250,37
908,100,908,N,257157,251,43
909,100,909,N,257439,251,43
910,100,910,N,257710,251,43
911,100,911,N,257966,251,43
912,100,912,N,258226,252,42
913,100,913,N,258478,252,42
914,100,914,N,258737,252,42
915,100,915,N,259005,252,42
916,100,916,N,259280,253,40
917,100,917,N,259541,253,40
918,100,918,N,259811,253,40
919,100,919,N,260076,253,40
920,100,920,N,260334,254,37
921,100,921,N,260585,254,37
922,100,922,N,260852,254,37
923,100,923,N,261132,255,39
924,100,924,N,261417,255,39
925,100,925,N,261690,255,39
926,100,926,N,261968,255,39
927,100,927,N,262241,256,39
928,100,928,N,262516,256,39
929,100,929,N,262789,256,39
930,100,930,N,263062,256,39
